model,uncertainty_type,dataset,unlabeled_size,auroc
llama3,montecarlosequenceentropy,coqa,200,0.7846474752582533
llama3,montecarlosequenceentropy,coqa,300,0.7826609116520985
llama3,montecarlosequenceentropy,coqa,400,0.7782423126008331
llama3,montecarlosequenceentropy,coqa,500,0.7744437621902766
llama3,montecarlosequenceentropy,coqa,600,0.7764664451347252
llama3,montecarlosequenceentropy,coqa,700,0.7721080449806159
llama3,montecarlosequenceentropy,coqa,800,0.7776373136844132
llama3,montecarlosequenceentropy,coqa,900,0.7720237665245974
llama3,montecarlosequenceentropy,coqa,1000,0.7737815743215585
llama3,montecarlosequenceentropy,coqa,1100,0.7805780298104938
llama3,montecarlosequenceentropy,coqa,1200,0.7817338486358929
llama3,montecarlosequenceentropy,coqa,1300,0.7810596209877435
llama3,montecarlosequenceentropy,coqa,1400,0.7736972958655397
llama3,montecarlosequenceentropy,coqa,1500,0.7583224975318452
llama3,montecarlosequenceentropy,coqa,1600,0.768538250379253
llama3,montecarlosequenceentropy,coqa,1700,0.7691462592405307
llama3,montecarlosequenceentropy,coqa,1800,0.7752383876327386
llama3,montecarlosequenceentropy,coqa,1900,0.7769299766428279
llama3,montecarlosequenceentropy,coqa,2000,0.7774175877097931
llama3,montecarlosequenceentropy,coqa,2100,0.7746634881648967
llama3,montecarlosequenceentropy,coqa,2200,0.7740404295793302
llama3,montecarlosequenceentropy,coqa,2300,0.7657450215512052
llama3,montecarlosequenceentropy,coqa,2400,0.7789285800284138
llama3,montecarlosequenceentropy,coqa,2500,0.7747447566760578
llama3,montecarlosequenceentropy,coqa,2600,0.7775801247321149
llama3,montecarlosequenceentropy,coqa,2700,0.7792656938524887
llama3,montecarlosequenceentropy,coqa,2800,0.7781700739242458
llama3,montecarlosequenceentropy,coqa,2900,0.779259673962773
llama3,montecarlosequenceentropy,coqa,3000,0.7813726552529557
llama3,montecarlosequenceentropy,coqa,3100,0.7835157359917166
llama3,montecarlosequenceentropy,coqa,3200,0.7756417202436852
llama3,montecarlosequenceentropy,coqa,3300,0.7777486816441523
llama3,montecarlosequenceentropy,coqa,3400,0.7809693226420092
llama3,montecarlosequenceentropy,coqa,3500,0.7820589226805365
llama3,montecarlosequenceentropy,coqa,3600,0.7821100917431192
llama3,montecarlosequenceentropy,coqa,3700,0.7821100917431192
llama3,montecarlosequenceentropy,coqa,3800,0.7821100917431192
llama3,montecarlosequenceentropy,coqa,3900,0.7821100917431192
